Waypoint,Tree ID,X_coord,Y_coord,Date,D60 (cm),Point 1(mm),Point 2 (mm),Point 3 (mm),Point 4 (mm),Point 5 (mm),Aspect,Coppice,Pix.mm,Notes
BNDQULA019,QULA019,-99.31455,29.89453,7/11/2026,33.5,13.4,16.13,13.37,13.86,15.34,357N,,,
BNDQUSIB011,QUSIB011,-99.31561,29.89496,7/11/2026,24,7.3,6.06,6.22,6.15,7.07,123SE,,,
BNDQUBU2038,QUBU2038,-99.31713,29.89656,8/8/2026,48,18.85,18.87,20.8,19.43,16.27,289W,,,
BNDQULA026,QULA026,,,8/8/2026,37,15.14,12.69,15.90,11.63,14.01,202S,,,
BNDQULA027,QULA027,,,8/8/2026,16,7.4,7.88,7.45,9.28,,278W,,,
BNDQULA028,QULA028,,,8/8/2026,19.5,13.94,14.44,13.19,11.71,14.15,120SE,,,
BNDQULA029,QULA029,,,8/8/2026,34,10.67,7.88,6.42,12.51,15.41,233SW,,lignotubers,
BNDQULA030,QULA030,,,8/8/2026,42,13.45,9.68,11.82,5.96,13.52,207SW,,hole in lignotubers,
BNDQULA031,QULA031,-99.31756,29.89160,8/8/2026,17,9.80,10.60,9.50,8.15,8.57,52NE,,,
BNDQULA032,QULA032,-99.31729,29.89176,8/8/2026,39,15.89,14.01,12.23,13.94,14.24,347N,,,
BNDQUSIB014,QUSIB014,-99.31724,29.89064,8/8/2026,12.5,6.92,6.45,6.63,7.00,,272W,,,
BNDQULA033,QULA033,-99.31754,29.89025,8/8/2026,32,13.6,11.57,16.04,12.46,,270W,,,
KND10QUFU003,QUFU003,-98.82322,29.90272,5/25/2026,31.5,15.29,16.7,15.04,11.97,10.42,,,,
KND10QUBU2005,QUBU2005,-98.82341,29.90231,5/25/2026,27,4.05,8.27,8.55,3.42,6.51,,,,
KND10QUBU2006,QUBU2006,-98.82365,29.90208,5/25/2026,17,6.68,3.23,2.50,3.87,4.46,,,,
KND10QUFU004,QUFU004,-98.82352,29.90258,5/25/2026,21,19.94,22.9,16.63,12.89,17.08,,,,
KND10QUST001,QUST001,-98.82338,29.90345,5/25/2026,25,16.59,15.14,16.79,13.86,13.85,,,,
KND10QUBU2007,QUBU2007,-98.82332,29.90338,5/25/2026,34.5,22.97,25.45,21.92,14.76,13.69,,,,
KND10QUST002,QUST002,-98.82381,29.90338,5/25/2026,24.2,6.70,5.16,6.57,8.39,6.97,,,,? Need identification
KND10QUFU005,QUFU005,-98.82391,29.90397,5/25/2026,11,7.82,5.93,6.52,,,,,,only 3 drill points because size class was small
KND10QUST003,QUST003,-98.82342,29.90407,5/25/2026,14,9.85,9.2,8.85,10.42,6.97,,,,
KND10QUBU2008,QUBU2008,-98.82416,29.90485,5/25/2026,43.5,21.23,23.47,19.27,15.82,16.93,,,,
KND10QUFU007,QUFU007,-98.82415,29.90483,5/25/2026,40,20.85,19.91,21.76,25.55,21.36,,,,
KND10QUBU2009,QUBU2009,-98.82432,29.90502,5/25/2026,10.5,4.7,4.76,4.9,,,,,,only 3 drill points because size class was small
KND10QUFU010,QUFU010,-98.82363,29.90502,6/9/2026,17,10.12,10.58,5.01,13.83,12.16,20NE,,,Bended
KND10QUFU011,QUFU011,-98.82236,29.90477,6/9/2026,47,18.53,16.21,24.68,23.33,16.76,340N,,,Big and slanted
KND10QUBU2014,QUBU2014,-98.82449,29.90301,6/9/2026,21,9.77,4.08,4.01,5.9,4.89,13N,Yes,,
KND08QUBU2010,QUBU2010,-98.82433,29.90502,5/25/2026,43.5,19.92,15.56,12.15,18.41,12.78,,,,
KND08QUFU008,QUFU008,-98.82433,29.90502,5/25/2026,76,41.11,24.47,39.54,16.31,29.59,,,,
KND08QUBU2011,QUBU2011,-98.82433,29.90502,5/25/2026,16,8.46,4.3,11.71,,,,,,
KND08QUFU009,QUFU009,-98.82433,29.90502,5/25/2026,13.5,13.99,11.92,11.41,,,,,,
KND08QUBU2017,QUBU2017,-98.66077,30.01135,6/10/2026,11,3.09,4.37,6.33,5.86,,150SE,,,
KND08QUBU2018,QUBU2018,-98.66089,30.01133,6/10/2026,32,11.14,9.7,9.12,11.96,16.78,193S,,,
KND08QUFU017,QUFU017,-98.66037,30.01158,6/10/2026,27,15.3,17.61,14.46,15.8,13.92,318NW,,,
KND08QUBU2020,QUBU2020,-98.65981,30.01299,6/10/2026,39.8,10.15,13.62,14.91,9.42,12.49,136SE,,,
KND08QUBU2021,QUBU2021,-98.65977,30.01305,6/10/2026,43,12.96,10.67,16.38,10.61,11.91,105E,,,
KND08QUFU019,QUFU019,-98.66053,30.01269,6/10/2026,41,18.4,10.19,13.55,21.49,10.91,26NE,,,
KND08QUBU2022,QUBU2022,-98.66152,30.01263,6/10/2026,26,9.33,7.59,9.85,10.32,11.44,14N,,,
R16QUFU021,QUFU021,-99.88193,30.06200,6/11/2026,33,15.32,16.31,15.74,20.72,12.18,207SW,,,Forked tree
R16QUFU022,QUFU022,-99.88191,30.06290,6/11/2026,18.5,12.23,15.96,10.59,10.00,9.61,198S,,,
R16QUFU023,QUFU023,-99.88106,30.06347,6/11/2026,27,13.96,18.54,11.22,19.31,14.03,127S,,,
BXRQUFU025,QUFU025,-98.37818,29.62548,6/12/2026,27,17.57,7.25,11.16,7.29,12.93,244SW,,,
BXRQUFU026,QUFU026,-98.37856,29.62671,6/12/2026,27,11.01,24.25,8.79,13.12,6.01,309NW,,,
BXRQUFU027,QUFU027,-98.37860,29.62671,6/12/2026,34,16.32,17.15,15.62,12.80,10.74,310NW,,,
BXRQUFU028,QUFU028,-98.37927,29.62847,6/12/2026,48.5,26.51,23.67,19.23,15.50,22.37,,,,
BXRQUFU029,QUFU029,-98.37937,29.62843,6/12/2026,50.5,19.84,17.81,17.06,20.6,22,284W,,,
MDQUMA2001,QUMA2001,-99.25411,29.21765,6/12/2026,20.5,6.60,9.69,7.85,10.52,10.36,189S,,,there was only one bur oak in this property so I think it might be planted one
MDQUFU030,QUFU030,-99.25088,29.22054,6/12/2026,31.5,17.46,21.45,14.05,18.70,16.33,252W,,,
MDQUFU032,QUFU032,-99.25187,29.21971,6/12/2026,111,29.04,32.30,29.64,35.46,19.77,190S,,,
MDQUFU033,QUFU033,-99.24719,29.21732,6/12/2026,40.5,13.44,12.34,14.47,14.39,13.12,191S,,,
MDQUFU034,QUFU034,-99.24739,29.21721,6/12/2026,39,13.27,13.02,15.32,17.85,15.3,217SW,,,
AHQUFU035,QUFU035,-101.03288,33.04805,6/22/2026,11,8.64,9.07,4.15,6.48,,176 S,,,
AHQUFU036,QUFU036,-101.03252,33.04791,6/22/2026,21,10.83,12.23,11.04,10.94,10.59,282 W,,,
AHQUFU037,QUFU037,-101.03374,33.05272,6/22/2026,116.5,31.83,12.00,31.62,25.91,20.54,269 W,,,
BWQUMA3001,QUMA3001,-99.14549,31.76214,7/3/2026,39,10.10,14.69,12.56,12.91,17.88,350 N,,,
BWQUMA3002,QUMA3002,-99.14552,31.76205,7/3/2026,14,12.27,12.86,11.57,14.6,,356 N,,,
BWQUMA3004,QUMA3004,-99.14604,31.76188,7/3/2026,32,28.36,23.33,22.39,33.48,30.18,344N,,,
BWQUMA3005,QUMA3005,-99.14570,31.76146,7/3/2026,26,21.61,25.52,20.31,24.54,19.83,348N,YES,,
BWQUMA3007,QUMA3007,-99.14439,31.76221,7/3/2026,106,21.78,19.12,23.97,24.74,30.2,2N,,,
BWQUMA3009,QUMA3009,-99.14590,31.76201,7/3/2026,34,28.87,18.69,23.63,21.43,14.94,345N,,,
MLQUFU038,QUFU038,-98.57101,31.53614,7/3/2026,99,19.29,35.93,17.63,37.28,14.94,265W,,,
ABQUFU039,QUFU039,99.87816,32.23794,7/20/2026,28,18.37,16.75,16.38,19.11,15.96,146SE,Yes,,
ABQUFU040,QUFU040,99.87790,32.23815,7/20/2026,17,11.68,13.33,11.37,11.93,10.81,138SE,,,
ABQUFU041,QUFU041,99.87981,32.23581,7/20/2026,35.8,19.75,19.55,20.26,20.73,19.21,278W,,,
ABQUBU2032,QUBU2032,99.87939,32.23537,7/20/2026,13.8,4.38,2.89,2.16,3.92,,117SE,,,
ABQUBU2033,QUBU2033,99.88177,32.23605,7/20/2026,25.5,3.98,5.35,5.78,4.28,4.78,128SE,,,
ABQUFU042,QUFU041,99.88364,32.23565,7/20/2026,17,14.01,6.87,10.55,10.36,9.87,323NW,,,
ABQUFU043,QUFU042,99.88383,32.23547,7/20/2026,31.2,17.17,14.17,15.29,14.07,16.22,46NE,,,
ABQUST005,QUST005,99.88215,32.23883,7/20/2026,78,28.49,19.49,30.08,26.52,30.25,301NW,,,
ABQUST006,QUST006,99.88223,32.23907,7/20/2026,99.5,36.13,37.85,32.96,24.6,28.6,330NW,,,
BDQUSIB012,QUSIB012,-98.85554,29.66165,8/8/2026,15,8.82,12.68,12.76,11.17,8.43,207SW,,Tree has a big hole near the ground,
BDQULA020,QULA020,-98.85541,29.66170,8/8/2026,27.2,12.56,19.22,14.28,11.29,17.16,91E,,,
BDQULA021,QULA021,-98.85503,29.66271,8/8/2026,39,13.53,18.32,19.88,20.09,13.99,95E,,,
BDQULA022,QULA022,-98.85265,29.66348,8/8/2026,14,7.98,5.34,7.6,10.65,,173S,,,
BDQULA023,QULA023,-98.85254,29.66352,8/8/2026,35,17.8,17.86,16.70,13.71,15.07,132SE,,Two trees from a single root system,
BDQUFU044,QUFU043,-98.85308,29.66195,8/8/2026,15,10.79,9.96,12.33,10.22,,90E,,,
BDQUFU045,QUFU044,-98.85294,29.66201,8/8/2026,33,15.16,23.91,15.65,17.6,19.14,42NE,,,
BDQULA024,QULA024,,,8/8/2026,20,10.14,9.53,7.77,12.41,12.31,230SW,,,
BDQULA025,QULA025,,,8/8/2026,36.9,18.49,13.05,14.26,13.15,14.86,315NW,,,
UVQUFU047,QUFU047,-99.92250,29.52084,8/8/2026,11,10.64,9.83,8.15,6.88,,262W,,,
RQULA034,QULA034,,,8/9/2026,20,14.61,12.61,14.14,12.13,12.35,142SE,,,
RQULA035,QULA035,,,8/9/2026,19,15.76,10.06,8.23,10.33,6.57,99E,,,
RQULA036,QULA036,,,8/9/2026,57,21.65,20.53,18.42,21.34,23.63,159S,,has lots of knots,
RQULA037,QULA037,,,8/9/2026,40,17.01,16.04,14.54,19.46,17.57,170S,,Lignotubers,
