"TreeID","bark.thicknesses"
"QULA001",10.5491037655008
"QULA001",10.8389428814936
"QULA001",11.0753172607506
"QULA001",11.0156624238255
"QULA001",10.7307055676341
"QULA001",10.3613352892597
"QULA001",9.99503433662669
"QULA001",9.85882857718613
"QULA001",9.55542277934012
"QULA001",9.19048550045488
"QULA001",9.12801448327975
"QULA001",8.55716357246673
"QULA001",8.61034875021174
"QULA001",9.09120040064744
"QULA001",9.57102531072347
"QULA001",10.0481925485733
"QULA001",10.2842250207007
"QULA001",10.7355341058947
"QULA001",11.2590393043589
"QULA001",11.7858687105149
"QULA001",12.2584963345288
"QULA001",12.2431605022421
"QULA001",12.0681220792643
"QULA001",11.9745016661441
"QULA001",12.0335743493313
"QULA001",12.1660369471112
"QULA001",12.2154764954772
"QULA001",12.0354465598438
"QULA001",12.0241294117458
"QULA001",12.1514012426369
"QULA001",12.3026128804181
"QULA001",12.1775788866023
"QULA001",11.9327449548545
"QULA001",11.7329626462893
"QULA001",11.7665016050995
"QULA001",11.9557403403095
"QULA001",12.0035509216119
"QULA001",12.0085927062818
"QULA001",11.9442389577855
"QULA001",11.8964141122597
"QULA001",12.0806661978019
"QULA001",12.3350191428451
"QULA001",12.4176023836647
"QULA001",12.3490013720354
"QULA001",12.1549858766748
"QULA001",11.9734586309023
"QULA001",11.8531841318675
"QULA001",11.7423745108109
"QULA001",11.5540182251218
"QULA001",11.3527895282448
"QULA001",11.1943295512527
"QULA001",11.3831030146759
"QULA001",11.5886657338622
"QULA001",11.5746101677771
"QULA001",11.3428650811431
"QULA001",11.109530096889
"QULA001",10.87141677585
"QULA001",10.9238941833711
"QULA001",11.3307163287132
"QULA001",11.8180306858683
"QULA001",11.8089185019298
"QULA001",11.4813451738721
"QULA001",11.1025250729793
"QULA001",10.7661006784692
"QULA001",10.476547684319
"QULA001",10.2099438124527
"QULA001",9.99763433720003
"QULA001",9.78532486194729
"QULA001",9.57571084445899
"QULA001",9.369586746534
"QULA001",9.21865671798218
"QULA001",9.0812621050903
"QULA001",8.96796460800499
"QULA001",8.86671309375275
"QULA001",8.74476967196872
"QULA001",8.63388591325182
"QULA001",8.55136158219318
"QULA001",8.56607216961407
"QULA001",8.66979611844545
